Timestamp,WindSpeed_m_s,Temperature_C,ActivePower_kW
2020-01-01 00:00:00,6.5,5.26,2300.0
2020-01-01 01:00:00,6.83,6.81,2289.77
2020-01-01 02:00:00,7.83,7.01,2300.0
2020-01-01 03:00:00,9.46,5.95,2300.0
2020-01-01 04:00:00,10.58,4.35,2296.25
2020-01-01 05:00:00,11.81,4.48,2290.97
2020-01-01 06:00:00,13.78,4.26,2300.0
2020-01-01 07:00:00,15.32,7.96,2300.0
2020-01-01 08:00:00,16.17,7.6,2292.19
2020-01-01 09:00:00,17.16,3.95,2289.95
2020-01-01 10:00:00,17.4,3.93,2291.63
2020-01-01 11:00:00,17.28,5.91,2300.0
2020-01-01 12:00:00,17.05,4.33,2295.01
2020-01-01 13:00:00,15.58,3.47,2291.78
2020-01-01 14:00:00,13.87,6.91,2300.0
2020-01-01 15:00:00,12.36,5.52,2289.94
2020-01-01 16:00:00,10.48,2.5,2300.0
2020-01-01 17:00:00,9.04,8.79,2300.0
2020-01-01 18:00:00,7.1,5.87,2289.16
2020-01-01 19:00:00,5.07,5.64,2300.0
2020-01-01 20:00:00,4.4,5.92,2288.87
2020-01-01 21:00:00,3.31,8.58,2300.0
2020-01-01 22:00:00,2.68,10.29,0.0
2020-01-01 23:00:00,1.84,2.25,0.0
2020-01-02 00:00:00,1.76,5.57,0.0
2020-01-02 01:00:00,2.33,8.41,0.0
2020-01-02 02:00:00,2.75,6.0,0.0
2020-01-02 03:00:00,4.07,8.11,2291.34
2020-01-02 04:00:00,5.2,6.09,2300.0
2020-01-02 05:00:00,6.58,3.64,2293.07
2020-01-02 06:00:00,7.83,4.12,2300.0
2020-01-02 07:00:00,9.98,6.59,2300.0
2020-01-02 08:00:00,11.17,4.7,2292.52
2020-01-02 09:00:00,11.67,6.55,2300.0
2020-01-02 10:00:00,12.59,4.29,2300.0
2020-01-02 11:00:00,12.31,7.1,2300.0
2020-01-02 12:00:00,12.22,-1.38,2300.0
2020-01-02 13:00:00,10.88,5.41,2300.0
2020-01-02 14:00:00,9.46,3.39,2289.95
2020-01-02 15:00:00,8.39,1.33,2292.73
2020-01-02 16:00:00,7.33,2.19,2298.33
