Timestamp,WindSpeed_m_s,Temperature_C,ActivePower_kW
2020-01-01 00:00:00,7.49,5.26,2300.0
2020-01-01 01:00:00,6.22,6.81,2289.77
2020-01-01 02:00:00,7.8,7.01,2300.0
2020-01-01 03:00:00,9.55,5.95,2300.0
2020-01-01 04:00:00,6.03,4.35,2296.25
2020-01-01 05:00:00,6.03,4.48,2290.97
2020-01-01 06:00:00,9.66,4.26,2300.0
2020-01-01 07:00:00,8.03,7.96,2300.0
2020-01-01 08:00:00,5.56,7.6,2292.19
2020-01-01 09:00:00,7.59,3.95,2289.95
2020-01-01 10:00:00,5.57,3.93,2291.63
2020-01-01 11:00:00,5.57,5.91,2300.0
2020-01-01 12:00:00,6.98,4.33,2295.01
2020-01-01 13:00:00,2.67,3.47,0.0
2020-01-01 14:00:00,3.05,6.91,2300.0
2020-01-01 15:00:00,5.38,5.52,2289.94
2020-01-01 16:00:00,4.47,2.5,2300.0
2020-01-01 17:00:00,7.13,8.79,2300.0
2020-01-01 18:00:00,4.68,5.87,2289.16
2020-01-01 19:00:00,3.68,5.64,2300.0
2020-01-01 20:00:00,9.43,5.92,2288.87
2020-01-01 21:00:00,6.05,8.58,2300.0
2020-01-01 22:00:00,6.64,10.29,2289.73
2020-01-01 23:00:00,3.65,2.25,2300.0
2020-01-02 00:00:00,5.41,5.57,2298.85
2020-01-02 01:00:00,6.72,8.41,2289.21
2020-01-02 02:00:00,4.2,6.0,2288.71
2020-01-02 03:00:00,7.25,8.11,2291.34
2020-01-02 04:00:00,5.3,6.09,2300.0
2020-01-02 05:00:00,5.92,3.64,2293.07
2020-01-02 06:00:00,5.3,4.12,2300.0
2020-01-02 07:00:00,10.2,6.59,2300.0
2020-01-02 08:00:00,6.47,4.7,2292.52
2020-01-02 09:00:00,4.38,6.55,2300.0
2020-01-02 10:00:00,8.15,4.29,2300.0
2020-01-02 11:00:00,4.06,7.1,2300.0
2020-01-02 12:00:00,6.92,-1.38,2300.0
2020-01-02 13:00:00,2.58,5.41,0.0
2020-01-02 14:00:00,3.84,3.39,2289.95
2020-01-02 15:00:00,6.89,1.33,2292.73
2020-01-02 16:00:00,7.98,2.19,2298.33
2020-01-02 17:00:00,6.84,3.87,2293.19
2020-01-02 18:00:00,6.27,6.98,2290.06
2020-01-02 19:00:00,5.9,5.2,2300.0
2020-01-02 20:00:00,3.54,1.9,2300.0
2020-01-02 21:00:00,5.06,5.91,2289.2
2020-01-02 22:00:00,5.58,7.68,2289.33
2020-01-02 23:00:00,8.61,3.88,2296.1
2020-01-03 00:00:00,7.19,3.51,2300.0
2020-01-03 01:00:00,2.97,1.01,0.0
2020-01-03 02:00:00,7.15,7.14,2296.26
2020-01-03 03:00:00,5.73,0.3,2288.99
2020-01-03 04:00:00,5.15,4.62,2292.96
2020-01-03 05:00:00,7.72,5.71,2294.56
2020-01-03 06:00:00,8.56,5.99,2288.72
2020-01-03 07:00:00,8.36,7.75,2300.0
2020-01-03 08:00:00,4.82,5.47,2289.67
2020-01-03 09:00:00,5.88,1.86,2300.0
2020-01-03 10:00:00,7.16,2.83,2299.27
2020-01-03 11:00:00,8.45,1.43,2300.0
2020-01-03 12:00:00,5.54,3.92,2290.1
2020-01-03 13:00:00,6.13,5.03,2300.0
2020-01-03 14:00:00,4.29,6.48,2300.0
2020-01-03 15:00:00,4.11,4.24,2300.0
2020-01-03 16:00:00,8.13,4.96,2296.77
2020-01-03 17:00:00,9.21,5.44,2300.0
2020-01-03 18:00:00,6.36,3.84,2300.0
2020-01-03 19:00:00,8.51,6.7,2299.96
2020-01-03 20:00:00,7.22,4.01,2300.0
2020-01-03 21:00:00,5.21,5.46,2290.96
2020-01-03 22:00:00,7.22,7.36,2297.91
2020-01-03 23:00:00,9.58,7.06,2300.0
2020-01-04 00:00:00,6.43,1.51,2300.0
2020-01-04 01:00:00,9.63,7.9,2300.0
2020-01-04 02:00:00,1.26,4.45,0.0
2020-01-04 03:00:00,8.14,-1.05,2296.87
2020-01-04 04:00:00,6.67,5.25,2298.55
2020-01-04 05:00:00,5.9,6.24,2298.39
2020-01-04 06:00:00,6.68,6.19,2300.0
2020-01-04 07:00:00,2.52,2.34,0.0
2020-01-04 08:00:00,6.06,11.3,2289.13
2020-01-04 09:00:00,7.21,5.35,2300.0
2020-01-04 10:00:00,9.46,6.15,2291.74
2020-01-04 11:00:00,5.46,6.72,2300.0
2020-01-04 12:00:00,4.88,1.15,2300.0
2020-01-04 13:00:00,5.5,7.4,2300.0
2020-01-04 14:00:00,8.33,1.83,2300.0
2020-01-04 15:00:00,7.16,5.47,2300.0
2020-01-04 16:00:00,5.44,1.25,2290.35
2020-01-04 17:00:00,7.53,5.78,2300.0
2020-01-04 18:00:00,6.69,5.17,2300.0
2020-01-04 19:00:00,8.44,7.81,2300.0
2020-01-04 20:00:00,5.1,7.31,2295.66
2020-01-04 21:00:00,5.84,5.18,2300.0
2020-01-04 22:00:00,5.72,3.73,2300.0
2020-01-04 23:00:00,3.57,4.58,2290.5
2020-01-05 00:00:00,7.09,6.67,2300.0
2020-01-05 01:00:00,7.02,4.57,2293.43
2020-01-05 02:00:00,6.51,3.86,2297.42
2020-01-05 03:00:00,6.03,6.4,2300.0
2020-01-05 04:00:00,3.67,3.63,2298.71
2020-01-05 05:00:00,5.66,9.05,2295.96
2020-01-05 06:00:00,5.81,3.74,2300.0
2020-01-05 07:00:00,4.9,2.52,2295.06
2020-01-05 08:00:00,6.18,3.5,2300.0
2020-01-05 09:00:00,7.31,1.1,2299.83
2020-01-05 10:00:00,10.27,4.43,2293.34
2020-01-05 11:00:00,6.85,6.2,2290.25
2020-01-05 12:00:00,7.02,8.47,2294.11
2020-01-05 13:00:00,6.35,6.51,2300.0
2020-01-05 14:00:00,2.66,2.92,0.0
2020-01-05 15:00:00,6.45,2.94,2300.0
2020-01-05 16:00:00,6.62,4.96,2300.0
2020-01-05 17:00:00,11.43,5.11,2300.0
2020-01-05 18:00:00,6.12,4.32,2300.0
2020-01-05 19:00:00,7.1,9.04,2300.0
2020-01-05 20:00:00,6.43,4.38,2295.64
2020-01-05 21:00:00,4.16,4.21,2300.0
2020-01-05 22:00:00,8.79,5.3,2298.34
2020-01-05 23:00:00,8.0,4.25,2294.17
2020-01-06 00:00:00,8.08,5.61,2292.75
2020-01-06 01:00:00,4.68,5.68,2300.0
2020-01-06 02:00:00,9.31,6.92,2296.08
2020-01-06 03:00:00,3.7,3.98,2300.0
2020-01-06 04:00:00,7.67,8.23,2290.85
2020-01-06 05:00:00,10.88,4.94,2295.04
2020-01-06 06:00:00,4.52,4.8,2299.35
2020-01-06 07:00:00,5.37,2.87,2295.94
2020-01-06 08:00:00,6.7,7.8,2292.73
2020-01-06 09:00:00,5.49,4.99,2291.74
2020-01-06 10:00:00,3.4,7.74,2297.87
2020-01-06 11:00:00,6.64,7.09,2300.0
2020-01-06 12:00:00,4.38,5.6,2300.0
2020-01-06 13:00:00,7.45,4.0,2293.77
2020-01-06 14:00:00,4.66,5.23,2300.0
2020-01-06 15:00:00,9.6,5.33,2294.87
2020-01-06 16:00:00,4.93,4.86,2290.37
2020-01-06 17:00:00,5.86,9.48,2300.0
2020-01-06 18:00:00,8.13,3.2,2300.0
2020-01-06 19:00:00,4.04,4.03,2291.88
2020-01-06 20:00:00,6.95,8.1,2300.0
2020-01-06 21:00:00,9.11,7.92,2297.47
2020-01-06 22:00:00,3.29,4.62,2293.8
2020-01-06 23:00:00,6.87,6.14,2300.0
2020-01-07 00:00:00,7.02,5.1,2300.0
2020-01-07 01:00:00,8.06,5.45,2292.85
